,beat_pitch
33,"[[(1, 74), (3, 74), (4, 76), (5, 76), (6, 73), (7, 71), (8, 68), (9, 69), (10, 73), (11, 76), (12, 79)], [(1, 74), (3, 73), (4, 76), (5, 78), (8, 76), (9, 74), (10, 73), (11, 74), (12, 72)], [(1, 74), (2, 72), (3, 82), (4, 79), (5, 81), (9, 74), (10, 73), (11, 71), (12, 69)], [(1, 74), (3, 79), (4, 83), (5, 81), (7, 76), (8, 71), (9, 74), (10, 73), (11, 71), (12, 69)], [(1, 74), (3, 71), (4, 70), (5, 70), (7, 69), (9, 72), (11, 70)], [(1, 74), (3, 76), (4, 77), (5, 72), (7, 74), (9, 81)], [(1, 74), (3, 74), (4, 76), (5, 77), (6, 76), (7, 79), (9, 83), (11, 79)], [(1, 74), (4, 71), (5, 69), (6, 71), (7, 69), (9, 62)]]"
34,"[[(1, 77), (4, 74), (5, 74), (7, 72), (8, 74), (9, 70)], [(1, 77), (3, 74), (4, 72), (5, 70), (7, 69), (8, 72), (9, 71)], [(1, 77), (2, 79), (3, 81), (5, 81), (7, 78), (8, 79), (9, 74)], [(1, 77), (2, 76), (3, 74), (5, 62), (7, 64), (8, 65), (9, 62)], [(1, 77), (3, 76), (5, 72), (7, 71), (8, 69), (9, 71)], [(1, 77), (3, 74), (4, 70), (5, 72), (7, 72), (8, 74), (9, 76)], [(1, 77), (3, 72), (5, 72), (7, 72), (8, 70), (9, 70), (11, 74)], [(1, 77), (2, 76), (3, 74), (5, 76), (7, 78), (8, 76), (9, 74)]]"
35,"[[(1, 65), (3, 64), (5, 64), (6, 62), (7, 64), (8, 67), (9, 69), (10, 55), (11, 72), (12, 71)], [(1, 65), (3, 69), (4, 74), (5, 76), (7, 77), (8, 77), (9, 76), (11, 72), (12, 69)], [(1, 65), (3, 64), (4, 62), (5, 62), (6, 66), (7, 69), (8, 67), (9, 65), (11, 62), (12, 59)], [(1, 65), (2, 64), (3, 69), (4, 73), (5, 73), (6, 74), (7, 65), (9, 64), (11, 64), (12, 57)], [(1, 65), (2, 67), (3, 66), (4, 69), (5, 81), (6, 78), (7, 76), (8, 74), (9, 60), (11, 55), (12, 58)], [(1, 65), (2, 64), (3, 69), (5, 71), (7, 72), (8, 74), (9, 78), (11, 74), (12, 78)], [(1, 65), (2, 72), (3, 69), (4, 65), (5, 64), (6, 68), (7, 69), (8, 67), (9, 69), (11, 66), (12, 69)], [(1, 65), (2, 72), (3, 74), (5, 57), (6, 64), (7, 72), (8, 74), (9, 72)]]"
36,"[[(1, 74), (5, 79), (7, 81), (9, 81), (10, 84), (11, 83), (12, 79)], [(1, 74), (3, 74), (5, 76), (7, 84), (9, 81), (11, 81), (12, 82)], [(1, 74), (2, 71), (3, 69), (4, 73), (5, 74), (7, 69), (9, 65), (11, 69), (12, 67)], [(1, 74), (3, 74), (4, 75), (5, 74), (7, 72), (9, 71), (11, 69), (12, 71)], [(1, 74), (3, 72), (5, 72), (7, 76), (8, 73), (9, 69), (11, 67), (12, 71)], [(1, 74), (3, 73), (4, 71), (5, 69), (7, 72), (8, 74), (9, 70), (11, 70)], [(1, 74), (3, 76), (4, 77), (5, 79), (7, 83), (9, 81), (10, 79), (11, 78)], [(1, 74), (3, 74), (4, 66), (5, 67), (9, 79), (11, 75)]]"
37,"[[(1, 69), (2, 66), (3, 65), (4, 69), (5, 71), (9, 69), (10, 72), (11, 70)], [(1, 69), (2, 74), (3, 76), (4, 77), (5, 76), (7, 78), (9, 79), (10, 77)], [(1, 69), (2, 70), (3, 69), (4, 67), (5, 67), (9, 55)], [(1, 69), (2, 72), (3, 66), (4, 69), (5, 70), (7, 74), (8, 72), (9, 71)], [(1, 69), (3, 71), (5, 74), (7, 76), (8, 74), (9, 70)], [(1, 69), (3, 69), (5, 72), (7, 76), (8, 80), (9, 79)], [(1, 69), (3, 72), (5, 69), (7, 67), (8, 66), (9, 71), (11, 74)], [(1, 69), (3, 74), (5, 75), (6, 65), (7, 74), (8, 71), (9, 74)]]"
38,"[[(1, 79), (3, 83), (5, 83), (7, 79), (9, 79)], [(1, 79), (3, 79), (5, 80), (6, 76), (7, 74), (9, 74)], [(1, 79), (3, 71), (5, 71), (6, 71), (7, 69), (9, 62)], [(1, 79), (3, 79), (4, 76), (5, 74), (6, 72), (7, 69), (9, 66), (11, 64)], [(1, 79), (3, 63), (4, 65), (5, 69), (9, 74), (11, 76)], [(1, 79), (3, 76), (4, 77), (5, 76), (8, 79), (9, 74), (11, 72)], [(1, 79), (3, 77), (4, 72), (5, 72), (9, 74), (11, 73), (12, 69)], [(1, 79), (3, 78), (4, 79), (5, 78), (8, 76), (9, 77), (11, 81), (12, 82)]]"
39,"[[(1, 79), (3, 79), (4, 74), (5, 72), (7, 70), (8, 74), (9, 75), (10, 74)], [(1, 79), (3, 83), (4, 79), (5, 74), (7, 72), (8, 76), (9, 74), (10, 69), (11, 67), (12, 70)], [(1, 79), (3, 75), (4, 76), (5, 76), (7, 76), (8, 79), (9, 81), (11, 76)], [(1, 79), (2, 82), (3, 79), (4, 77), (5, 79), (7, 77), (8, 76), (9, 74), (11, 78), (12, 74)], [(1, 79), (3, 83), (4, 79), (5, 74), (7, 74), (8, 72), (9, 74), (10, 73), (11, 71), (12, 72)], [(1, 79), (3, 77), (4, 81), (5, 79), (7, 72), (8, 71), (9, 69)], [(1, 79), (3, 71), (4, 74), (5, 72), (9, 72)], [(1, 79), (3, 79), (4, 78), (5, 79), (9, 79), (11, 81)]]"
40,"[[(1, 74), (2, 73), (3, 74), (5, 76), (6, 79), (7, 77), (8, 76), (9, 74)], [(1, 74), (3, 72), (5, 72), (6, 74), (7, 73), (8, 74), (9, 72)], [(1, 74), (3, 72), (5, 69), (7, 73), (8, 74), (9, 71)], [(1, 74), (3, 74), (5, 72), (7, 71), (9, 72)], [(1, 74), (3, 73), (5, 74), (7, 76), (8, 77), (9, 77)], [(1, 74), (3, 77), (4, 81), (5, 79), (7, 78), (8, 76), (9, 74), (12, 75)], [(1, 74), (2, 77), (3, 79), (4, 75), (5, 77), (7, 77), (8, 79), (9, 79), (11, 76), (12, 77)], [(1, 74), (3, 73), (4, 76), (5, 78), (7, 78), (9, 81), (11, 79), (12, 83)]]"
41,"[[(1, 72), (5, 72), (6, 76), (7, 73), (8, 71), (9, 69), (11, 72), (12, 55)], [(1, 72), (2, 77), (3, 79), (4, 70), (5, 80), (6, 81), (7, 79), (8, 77), (9, 77), (11, 79), (12, 78)], [(1, 72), (2, 75), (3, 77), (4, 76), (5, 74), (7, 71), (8, 67), (9, 66), (11, 66), (12, 67)], [(1, 72), (3, 72), (4, 71), (5, 69), (7, 81), (8, 79), (9, 81), (11, 79)], [(1, 72), (2, 71), (3, 72), (4, 70), (5, 75), (6, 74), (7, 72), (8, 71), (9, 69), (11, 81)], [(1, 72), (3, 74), (4, 72), (5, 71), (6, 69), (7, 81), (9, 64), (11, 62)], [(1, 72), (2, 71), (3, 68), (4, 71), (5, 69), (6, 67), (7, 64), (9, 65), (11, 69), (12, 67)], [(1, 72), (2, 74), (3, 72), (4, 71), (5, 69), (9, 57), (11, 66), (12, 67)]]"
42,"[[(1, 66), (2, 69), (3, 79), (4, 81), (5, 82), (9, 86), (11, 86)], [(1, 66), (2, 67), (3, 71), (4, 72), (5, 65), (7, 65), (8, 62), (9, 59), (11, 55)], [(1, 66), (2, 67), (3, 65), (4, 68), (5, 69), (7, 73), (8, 71), (9, 69), (10, 73)], [(1, 66), (2, 67), (3, 71), (4, 73), (5, 74), (7, 73), (8, 71), (9, 72), (10, 70), (11, 69)], [(1, 66), (2, 67), (3, 69), (5, 69), (7, 81), (8, 79), (9, 79), (10, 78)], [(1, 66), (3, 81), (5, 81), (7, 81), (8, 83), (9, 81)], [(1, 66), (3, 69), (5, 69), (7, 69), (8, 70), (9, 79)], [(1, 66), (2, 69), (3, 67), (4, 70), (5, 74), (7, 73), (8, 71), (9, 69)]]"
43,"[[(1, 71), (2, 74), (3, 72), (4, 70), (5, 72), (6, 74), (7, 78), (8, 74), (9, 79)], [(1, 71), (3, 67), (4, 66), (5, 67), (7, 69), (8, 65), (9, 62)], [(1, 71), (3, 71), (5, 74), (7, 74), (8, 72), (9, 69), (11, 67)], [(1, 71), (5, 71), (7, 71), (8, 67), (9, 69)], [(1, 71), (3, 67), (4, 66), (5, 67), (7, 69), (8, 67), (9, 72)], [(1, 71), (2, 74), (3, 78), (4, 76), (5, 71), (7, 74), (8, 77), (9, 70)], [(1, 71), (3, 69), (4, 68), (5, 67), (6, 70), (7, 69), (8, 72), (9, 71)], [(1, 71), (3, 73), (4, 74), (5, 70), (6, 69), (7, 72), (8, 70), (9, 72), (11, 72), (12, 69)]]"
44,"[[(1, 71), (3, 71), (4, 73), (5, 74), (7, 74), (8, 76), (9, 74), (12, 72)], [(1, 71), (3, 69), (4, 65), (5, 62), (7, 78), (9, 78), (11, 76), (12, 74)], [(1, 71), (3, 69), (5, 67), (7, 64), (8, 62), (9, 60), (11, 72), (12, 71)], [(1, 71), (2, 72), (3, 76), (5, 74), (7, 76), (8, 74), (9, 69), (11, 73)], [(1, 71), (2, 69), (3, 71), (4, 73), (5, 76), (7, 77), (8, 79), (9, 78)], [(1, 71), (3, 71), (4, 67), (5, 62), (7, 64), (9, 65)], [(1, 71), (3, 71), (4, 72), (5, 71), (9, 69)], [(1, 71), (3, 71), (4, 74), (5, 71), (7, 71), (9, 72)]]"
45,"[[(1, 79), (2, 81), (3, 80), (4, 78), (5, 79), (7, 81), (9, 79), (11, 77), (12, 76)], [(1, 79), (2, 77), (3, 81), (5, 76), (6, 77), (7, 79), (8, 70), (9, 69), (11, 74), (12, 77)], [(1, 79), (2, 77), (3, 81), (4, 79), (5, 77), (7, 79), (8, 76), (9, 77), (11, 76), (12, 74)], [(1, 79), (2, 77), (3, 76), (4, 77), (5, 79), (7, 84), (8, 79), (9, 77), (11, 74)], [(1, 79), (3, 74), (4, 72), (5, 71), (7, 69), (9, 67), (11, 71)], [(1, 79), (3, 83), (4, 79), (5, 81), (7, 79), (9, 78)], [(1, 79), (3, 76), (4, 74), (5, 74), (7, 74), (9, 74)], [(1, 79), (3, 79), (4, 77), (5, 79), (7, 76), (8, 72), (9, 69), (11, 66)]]"
46,"[[(1, 76), (5, 76), (7, 79), (9, 76), (11, 72)], [(1, 76), (5, 76), (7, 73), (9, 69), (11, 67)], [(1, 76), (3, 72), (4, 76), (5, 78), (7, 76), (9, 77), (11, 76)], [(1, 76), (2, 72), (3, 74), (4, 77), (5, 77), (7, 79), (9, 79), (11, 76)], [(1, 76), (3, 81), (4, 82), (5, 72), (7, 72), (9, 71), (11, 69), (12, 67)], [(1, 76), (3, 74), (4, 73), (5, 74), (6, 77), (7, 74), (9, 70), (11, 70)], [(1, 76), (2, 74), (3, 76), (4, 79), (5, 81), (6, 77), (7, 74), (9, 74), (10, 73), (11, 71), (12, 72)], [(1, 76), (3, 73), (4, 74), (5, 72), (7, 76), (8, 78), (9, 79), (10, 78), (11, 79), (12, 78)]]"
47,"[[(1, 61), (2, 62), (3, 64), (4, 66), (5, 67), (7, 69), (8, 72), (9, 74)], [(1, 61), (2, 62), (3, 63), (4, 65), (5, 62), (7, 70), (8, 69), (9, 71)], [(1, 61), (2, 62), (3, 63), (4, 62), (5, 63), (6, 72), (7, 71), (8, 69), (9, 71), (11, 72)], [(1, 61), (2, 62), (3, 67), (4, 71), (5, 72), (7, 71), (8, 72), (9, 77), (10, 76), (11, 74)], [(1, 61), (2, 62), (3, 64), (4, 63), (5, 64), (7, 64), (8, 67), (9, 71)], [(1, 61), (3, 57), (5, 74), (7, 74), (8, 78), (9, 76)], [(1, 61), (2, 62), (3, 64), (4, 66), (5, 67), (7, 67), (8, 66), (9, 67)], [(1, 61), (2, 62), (3, 64), (5, 66), (7, 66), (8, 64), (9, 57)]]"
48,"[[(1, 72), (2, 71), (3, 72), (4, 74), (5, 79), (7, 76), (8, 74), (9, 72)], [(1, 72), (3, 72), (4, 69), (5, 70), (7, 69), (8, 65), (9, 62)], [(1, 72), (2, 71), (3, 69), (4, 67), (5, 71), (7, 74), (9, 76)], [(1, 72), (3, 74), (4, 79), (5, 81), (7, 79), (9, 76), (11, 74)], [(1, 72), (3, 81), (4, 77), (5, 74), (7, 72), (9, 76), (10, 74), (11, 78), (12, 79)], [(1, 72), (3, 72), (4, 74), (5, 76), (7, 81), (9, 81), (11, 72), (12, 71)], [(1, 72), (3, 70), (4, 72), (5, 72), (7, 72), (8, 69), (9, 74), (11, 79), (12, 83)], [(1, 72), (3, 71), (4, 74), (5, 76), (7, 76), (8, 77), (9, 76)]]"
49,"[[(1, 72), (3, 74), (4, 73), (5, 74), (9, 62), (11, 71)], [(1, 72), (3, 74), (4, 73), (5, 74), (9, 81), (11, 78), (12, 79)], [(1, 72), (3, 72), (4, 76), (5, 71), (7, 74), (8, 72), (9, 71), (11, 74), (12, 72)], [(1, 72), (2, 74), (3, 76), (5, 75), (7, 75), (8, 79), (9, 81), (11, 79), (12, 76)], [(1, 72), (2, 71), (3, 69), (5, 65), (6, 72), (7, 70), (8, 69), (9, 67), (10, 66), (11, 64), (12, 62)], [(1, 72), (2, 71), (3, 73), (5, 64), (6, 71), (7, 72), (8, 71), (9, 69)], [(1, 72), (2, 70), (3, 69), (5, 69), (6, 72), (7, 74), (8, 71), (9, 72), (11, 71), (12, 69)], [(1, 72), (3, 81), (5, 81), (7, 81), (8, 72), (9, 71), (11, 69), (12, 71)]]"
50,"[[(1, 72), (3, 71), (4, 72), (5, 74), (7, 62), (9, 62)], [(1, 72), (3, 72), (5, 71), (7, 67), (9, 62)], [(1, 72), (2, 69), (3, 71), (4, 74), (5, 78), (7, 81), (9, 77)], [(1, 72), (3, 76), (4, 78), (5, 79), (6, 77), (7, 81), (9, 77)], [(1, 72), (3, 76), (4, 72), (5, 74), (7, 72), (9, 74)], [(1, 72), (2, 71), (3, 72), (4, 76), (5, 76), (7, 78), (8, 69), (9, 76)], [(1, 72), (3, 72), (4, 74), (5, 72), (7, 72), (8, 71), (9, 67), (11, 78)], [(1, 72), (3, 71), (4, 72), (5, 71), (6, 66), (7, 69), (8, 72), (9, 67), (10, 66), (11, 69), (12, 64)]]"
51,"[[(1, 72), (2, 70), (3, 74), (5, 65), (7, 77), (8, 75), (9, 74), (10, 70)], [(1, 72), (2, 70), (3, 74), (5, 74), (7, 72), (8, 75), (9, 65), (11, 67)], [(1, 72), (2, 71), (3, 69), (5, 73), (7, 74), (8, 71), (9, 72), (10, 71)], [(1, 72), (2, 70), (3, 69), (4, 71), (5, 69), (7, 69), (8, 71), (9, 71)], [(1, 72), (2, 71), (3, 67), (5, 72), (6, 71), (7, 74), (8, 71), (9, 72)], [(1, 72), (2, 71), (3, 73), (4, 71), (5, 72), (6, 69), (7, 72), (8, 74), (9, 72), (11, 72)], [(1, 72), (2, 74), (3, 79), (4, 80), (5, 78), (7, 76), (8, 74), (9, 73)], [(1, 72), (3, 72), (4, 74), (5, 72), (7, 76), (8, 74), (9, 76)]]"
52,"[[(1, 74), (2, 73), (3, 76), (5, 75), (6, 65), (7, 71), (8, 72), (9, 69), (11, 71)], [(1, 74), (3, 74), (5, 79), (6, 78), (7, 76), (9, 76), (11, 78)], [(1, 74), (5, 79), (6, 81), (7, 78), (9, 79), (11, 79)], [(1, 74), (5, 74), (7, 76), (9, 74), (11, 74)], [(1, 74), (5, 75), (7, 74), (8, 72), (9, 71), (11, 74), (12, 72)], [(1, 74), (3, 72), (5, 76), (7, 79), (9, 76), (11, 79), (12, 72)], [(1, 74), (3, 74), (5, 57), (6, 59), (7, 60), (9, 58), (11, 55)], [(1, 74), (2, 73), (3, 69), (5, 69), (6, 66), (7, 67), (9, 71), (11, 79)]]"
53,"[[(1, 67), (3, 71), (4, 67), (5, 71), (7, 71), (9, 69), (11, 66), (12, 69)], [(1, 67), (3, 69), (4, 68), (5, 69), (7, 69), (9, 71)], [(1, 67), (3, 72), (4, 71), (5, 69), (9, 69)], [(1, 67), (2, 69), (3, 71), (4, 73), (5, 74), (9, 62)], [(1, 67), (3, 69), (4, 66), (5, 67), (9, 55)], [(1, 67), (2, 69), (3, 67), (4, 66), (5, 67), (9, 67)], [(1, 67), (3, 66), (4, 67), (5, 67), (9, 55)], [(1, 67), (3, 71), (5, 71), (9, 79)]]"
54,"[[(1, 62), (2, 67), (3, 72), (4, 76), (5, 74), (7, 72), (8, 74), (9, 77)], [(1, 62), (2, 64), (3, 66), (4, 69), (5, 72), (6, 69), (7, 71), (8, 69), (9, 71), (11, 69), (12, 67)], [(1, 62), (2, 67), (3, 71), (4, 67), (5, 69), (6, 71), (7, 72), (8, 71), (9, 64), (10, 65), (11, 63), (12, 60)], [(1, 62), (2, 67), (3, 71), (4, 72), (5, 69), (7, 64), (8, 66), (9, 67), (11, 65)], [(1, 62), (2, 67), (3, 71), (4, 72), (5, 70), (7, 69), (8, 72), (9, 74), (11, 74)], [(1, 62), (3, 64), (4, 65), (5, 65), (6, 67), (7, 66), (8, 69), (9, 78), (11, 79)], [(1, 62), (2, 67), (3, 71), (4, 74), (5, 78), (6, 69), (7, 71), (8, 72), (9, 74), (11, 70)], [(1, 62), (2, 67), (3, 64), (4, 65), (5, 58), (7, 70), (8, 69), (9, 67)]]"
55,"[[(1, 69), (3, 71), (4, 67), (5, 69), (9, 69)], [(1, 69), (3, 71), (4, 72), (5, 75), (7, 78), (9, 74)], [(1, 69), (2, 71), (3, 72), (4, 71), (5, 72), (7, 76), (9, 76)], [(1, 69), (2, 67), (3, 69), (4, 67), (5, 67), (7, 66), (8, 64), (9, 64), (11, 60)], [(1, 69), (2, 65), (3, 69), (4, 72), (5, 69), (6, 62), (7, 63), (8, 60), (9, 58), (11, 55), (12, 60)], [(1, 69), (3, 79), (5, 77), (6, 79), (7, 76), (8, 74), (9, 72), (11, 72), (12, 70)], [(1, 69), (2, 71), (3, 72), (5, 71), (7, 71), (8, 68), (9, 69), (11, 69), (12, 67)], [(1, 69), (2, 74), (3, 73), (5, 74), (7, 72), (9, 72), (11, 71)]]"
56,"[[(1, 72), (2, 71), (3, 74), (5, 74), (9, 62), (11, 65)], [(1, 72), (2, 71), (3, 73), (5, 69), (7, 72), (8, 71), (9, 69), (11, 78)], [(1, 72), (2, 79), (3, 77), (5, 77), (6, 79), (7, 77), (8, 79), (9, 76), (11, 72)], [(1, 72), (3, 74), (5, 72), (6, 74), (7, 72), (8, 76), (9, 74), (11, 76), (12, 72)], [(1, 72), (3, 74), (5, 74), (7, 78), (8, 76), (9, 76), (11, 79), (12, 72)], [(1, 72), (5, 71), (7, 71), (8, 68), (9, 69), (11, 71), (12, 69)], [(1, 72), (3, 72), (5, 74), (7, 71), (8, 72), (9, 71), (11, 72)], [(1, 72), (2, 74), (3, 72), (5, 72), (7, 81), (8, 80), (9, 76), (11, 81), (12, 79)]]"
57,"[[(1, 81), (4, 79), (5, 81), (6, 77), (7, 76), (8, 72), (9, 71)], [(1, 81), (3, 83), (4, 79), (5, 83), (6, 79), (7, 77), (8, 76), (9, 74), (11, 74)], [(1, 81), (3, 80), (4, 81), (5, 64), (7, 69), (8, 72), (9, 74), (11, 71), (12, 69)], [(1, 81), (3, 78), (4, 79), (5, 77), (7, 77), (9, 76), (11, 79), (12, 77)], [(1, 81), (3, 76), (4, 74), (5, 72), (7, 71), (9, 72)], [(1, 81), (3, 79), (4, 81), (5, 64), (7, 73), (9, 71), (11, 69), (12, 67)], [(1, 81), (2, 79), (3, 76), (4, 79), (5, 81), (7, 76), (9, 74), (11, 72)], [(1, 81), (3, 79), (4, 83), (5, 79), (7, 76), (9, 77), (11, 74), (12, 73)]]"
58,"[[(1, 74), (3, 73), (5, 74), (7, 71), (8, 69), (9, 71)], [(1, 74), (3, 76), (5, 72), (6, 75), (7, 74), (8, 65), (9, 60)], [(1, 74), (3, 74), (4, 76), (5, 78), (6, 74), (7, 72), (8, 74), (9, 73)], [(1, 74), (2, 72), (3, 70), (4, 69), (5, 70), (6, 72), (7, 71), (9, 55)], [(1, 74), (3, 73), (4, 71), (5, 72), (6, 70), (7, 69), (8, 72), (9, 69)], [(1, 74), (3, 76), (4, 73), (5, 74), (6, 72), (7, 74), (8, 76), (9, 79)], [(1, 74), (2, 73), (3, 71), (4, 69), (5, 70), (7, 70), (8, 67), (9, 69)], [(1, 74), (2, 73), (3, 69), (4, 68), (5, 69), (7, 69), (9, 65)]]"
59,"[[(1, 74), (2, 73), (3, 74), (4, 72), (5, 74), (9, 62)], [(1, 74), (2, 73), (3, 74), (4, 72), (5, 74), (9, 62)], [(1, 74), (3, 71), (4, 74), (5, 74), (9, 74)], [(1, 74), (3, 74), (4, 73), (5, 69), (9, 57), (10, 64)], [(1, 74), (3, 74), (5, 76), (9, 76), (10, 74)], [(1, 74), (3, 72), (5, 72), (9, 72)], [(1, 74), (3, 76), (5, 76), (7, 76), (9, 74)], [(1, 74), (3, 76), (5, 76), (7, 77), (9, 75), (11, 74)]]"
60,"[[(1, 74), (4, 72), (5, 65), (7, 67), (9, 76), (11, 79), (12, 77)], [(1, 74), (3, 71), (4, 73), (5, 74), (7, 73), (9, 71), (10, 72), (11, 70), (12, 69)], [(1, 74), (2, 72), (3, 70), (4, 72), (5, 71), (6, 69), (7, 78), (9, 78), (11, 81), (12, 77)], [(1, 74), (3, 74), (4, 71), (5, 69), (7, 72), (8, 71), (9, 69), (11, 74), (12, 71)], [(1, 74), (3, 76), (4, 77), (5, 77), (9, 77), (11, 79), (12, 83)], [(1, 74), (4, 72), (5, 69), (7, 67), (9, 66), (11, 62), (12, 67)], [(1, 74), (3, 76), (4, 74), (5, 79), (7, 77), (9, 79), (11, 83), (12, 85)], [(1, 74), (3, 74), (4, 75), (5, 74), (9, 62), (11, 62), (12, 67)]]"
61,"[[(1, 72), (2, 71), (3, 68), (4, 71), (5, 72), (7, 71), (8, 69), (9, 67)], [(1, 72), (2, 71), (3, 73), (4, 69), (5, 70), (6, 69), (7, 71), (8, 72), (9, 69), (12, 67)], [(1, 72), (2, 74), (3, 73), (4, 74), (5, 75), (7, 75), (8, 76), (9, 78), (12, 76)], [(1, 72), (2, 79), (3, 81), (4, 78), (5, 79), (6, 78), (7, 83), (8, 79), (9, 74)], [(1, 72), (2, 74), (3, 72), (4, 74), (5, 76), (7, 73), (8, 71), (9, 69), (11, 69), (12, 67)], [(1, 72), (2, 69), (3, 71), (4, 73), (5, 74), (7, 71), (8, 69), (9, 71), (11, 69)], [(1, 72), (2, 74), (3, 74), (4, 76), (5, 74), (7, 77), (8, 72), (9, 71), (11, 67), (12, 66)], [(1, 72), (2, 77), (3, 69), (4, 66), (5, 67), (6, 71), (7, 69), (8, 72), (9, 71), (11, 74), (12, 71)]]"
62,"[[(1, 74), (2, 77), (3, 74), (5, 74), (7, 74), (9, 73), (11, 69)], [(1, 74), (2, 76), (3, 74), (5, 73), (7, 71), (8, 67), (9, 69), (10, 68), (11, 64), (12, 62)], [(1, 74), (2, 72), (3, 70), (4, 67), (5, 64), (7, 64), (8, 66), (9, 62), (11, 69), (12, 70)], [(1, 74), (3, 74), (4, 77), (5, 81), (7, 71), (8, 74), (9, 73), (11, 70)], [(1, 74), (3, 76), (4, 77), (5, 74), (7, 79), (8, 78), (9, 79)], [(1, 74), (2, 73), (3, 69), (4, 66), (5, 66), (6, 67), (7, 66), (8, 67), (9, 69)], [(1, 74), (3, 74), (4, 76), (5, 81), (6, 79), (7, 76), (9, 69)], [(1, 74), (3, 76), (4, 73), (5, 72), (6, 76), (7, 78), (9, 78)]]"
63,"[[(1, 79), (3, 79), (4, 78), (5, 79), (6, 78), (7, 76), (8, 79), (9, 81), (10, 79), (11, 77)], [(1, 79), (2, 77), (3, 76), (4, 74), (5, 74), (6, 72), (7, 74), (8, 71), (9, 69), (10, 67)], [(1, 79), (2, 69), (3, 67), (4, 71), (5, 67), (6, 66), (7, 64), (8, 67), (9, 71)], [(1, 79), (2, 78), (3, 79), (4, 77), (5, 79), (7, 76), (8, 78), (9, 80)], [(1, 79), (2, 69), (3, 71), (4, 69), (5, 71), (7, 71), (8, 67), (9, 66), (11, 66)], [(1, 79), (3, 83), (4, 79), (5, 74), (7, 74), (8, 72), (9, 71)], [(1, 79), (3, 81), (4, 77), (5, 74), (7, 72), (8, 70), (9, 69), (11, 64)], [(1, 79), (2, 78), (3, 79), (4, 80), (5, 79), (7, 81), (8, 77), (9, 79)]]"
64,"[[(1, 74), (3, 77), (4, 76), (5, 74), (7, 76), (8, 77), (9, 74), (11, 78), (12, 74)], [(1, 74), (4, 72), (5, 74), (7, 73), (8, 71), (9, 67), (11, 69), (12, 71)], [(1, 74), (4, 72), (5, 69), (7, 81), (8, 79), (9, 81)], [(1, 74), (3, 75), (4, 77), (5, 74), (7, 69), (8, 71), (9, 72), (10, 71)], [(1, 74), (2, 73), (3, 71), (4, 73), (5, 69), (7, 72), (8, 74), (9, 69)], [(1, 74), (2, 78), (3, 76), (4, 74), (5, 69), (7, 70), (8, 72), (9, 72), (11, 77), (12, 74)], [(1, 74), (3, 79), (4, 77), (5, 76), (7, 79), (8, 77), (9, 79), (11, 71)], [(1, 74), (2, 73), (3, 76), (4, 77), (5, 77), (7, 76), (8, 73), (9, 74), (11, 77), (12, 79)]]"
65,"[[(1, 79), (3, 78), (4, 76), (5, 78), (6, 76), (7, 74), (8, 72), (9, 72), (11, 70)], [(1, 79), (2, 77), (3, 82), (4, 79), (5, 76), (6, 74), (7, 71), (8, 72), (9, 71), (10, 74), (11, 73)], [(1, 79), (3, 79), (4, 77), (5, 76), (6, 74), (7, 71), (8, 72), (9, 74), (11, 72), (12, 76)], [(1, 79), (3, 82), (4, 81), (5, 79), (6, 83), (7, 81), (8, 83), (9, 83)], [(1, 79), (3, 78), (4, 74), (5, 73), (7, 74), (8, 77), (9, 74)], [(1, 79), (3, 79), (4, 76), (5, 77), (7, 81), (8, 79), (9, 76), (10, 74), (11, 72)], [(1, 79), (3, 63), (4, 62), (5, 69), (7, 64), (8, 62), (9, 59), (11, 62)], [(1, 79), (3, 71), (4, 72), (5, 74), (7, 69), (9, 69)]]"
66,"[[(1, 76), (2, 72), (3, 69), (5, 65), (6, 69), (7, 71), (9, 67), (11, 65), (12, 64)], [(1, 76), (3, 81), (4, 82), (5, 79), (6, 77), (7, 76), (9, 74), (11, 82), (12, 79)], [(1, 76), (2, 72), (3, 74), (4, 79), (5, 81), (6, 80), (7, 81), (9, 81), (11, 72)], [(1, 76), (4, 77), (5, 79), (6, 78), (7, 79), (9, 66), (11, 65)], [(1, 76), (4, 72), (5, 80), (6, 76), (7, 74), (8, 76), (9, 72), (11, 71)], [(1, 76), (3, 77), (4, 79), (5, 77), (6, 76), (7, 77), (8, 81), (9, 79), (11, 81)], [(1, 76), (2, 72), (3, 74), (4, 76), (5, 62), (6, 64), (7, 62), (8, 60), (9, 58)], [(1, 76), (2, 79), (3, 81), (4, 78), (5, 79), (6, 78), (7, 79), (8, 71), (9, 69)]]"
67,"[[(1, 74), (3, 73), (4, 74), (5, 76), (7, 74), (9, 74)], [(1, 74), (3, 79), (4, 76), (5, 78), (7, 74), (9, 74), (11, 78), (12, 79)], [(1, 74), (3, 79), (4, 81), (5, 79), (7, 78), (8, 76), (9, 74), (11, 78)], [(1, 74), (3, 79), (4, 77), (5, 74), (7, 74), (9, 76)], [(1, 74), (3, 74), (4, 76), (5, 74), (7, 67), (9, 69)], [(1, 74), (3, 74), (4, 71), (5, 72), (7, 71), (9, 73), (11, 69)], [(1, 74), (3, 73), (4, 64), (5, 65), (7, 64), (9, 65)], [(1, 74), (3, 76), (4, 79), (5, 79), (6, 78), (7, 79), (9, 78)]]"
